Img,id,width,height,width,height,is_upscaled,url,userid,prompt,negativePrompt,timestamp,seed,cfg,model
1,a860bc12-2f19-48ec-a5aa-4a79356a3a23,768,1152,768,1152,False,https://image.lexica.art/full_jpg/a860bc12-2f19-48ec-a5aa-4a79356a3a23,clhk4zil00018la09c1vx3l77,"Anak anime yang imut,bunga",Anime chibi,2023-05-12T05:49:40.264Z,378693,7,lexica-aperture-v3
2,cdaa5390-69e8-4363-ba7b-015e1b1738cb,768,1152,768,1152,False,https://image.lexica.art/full_jpg/cdaa5390-69e8-4363-ba7b-015e1b1738cb,clhk884g0000olc085k3ktxc0,"A soldier, from the dark period of the Middle Ages, in chainmail and with a spear. With blanck background, put just some environmental details as grass or tree. Use mostly blue vivid colors. Use drawing graphic style used in ""le roi des nains"" board game.",,2023-05-12T07:27:39.799Z,980644,7,lexica-aperture-v3
3,a84fa528-4680-4a40-947d-3e96bef0a43c,768,1152,768,1152,False,https://image.lexica.art/full_jpg/a84fa528-4680-4a40-947d-3e96bef0a43c,clhkgcsh8000omn08xt7mdi1e,"In the heart of the dark forest, a creepy old mansion emerges from the shadows, its decaying facade contrasting with the vibrant hues of the surrounding foliage. The mansion is shrouded in darkness, but as the viewer's gaze is drawn upwards, they notice the windows aglow with flickering lights, piercing through the night like beacons of the unknown. A cloudy, green sky hangs ominously overhead, casting an eerie glow on the scene below. The air is thick with a green fog that clings to the ground, wrapping the mansion in a spectral embrace. The haunted house exudes a sense of foreboding, its twisted architecture and broken windows telling stories of the past. The image should convey the chilling atmosphere and haunting beauty of the scene. Painting, using oil on canvas, to capture the interplay of light and darkness, and to bring out the intricate details of the mansion and its surroundings. --ar 16:9 --v 5",,2023-05-12T11:33:32.462Z,25035,7,lexica-aperture-v3
4,a82788e8-b956-454c-b055-a465bca9c4bd,768,1152,768,1152,False,https://image.lexica.art/full_jpg/a82788e8-b956-454c-b055-a465bca9c4bd,clh2l4dgr0000kt085btqcddc,"A beautiful girl with glasses sits at the table and reads a book, against the background of the starry sky",,2023-05-12T08:41:06.125Z,579557,7,lexica-aperture-v3
5,a8021c3b-47c7-44b2-910c-c3b4e6a44c37,1152,768,1152,768,False,https://image.lexica.art/full_jpg/a8021c3b-47c7-44b2-910c-c3b4e6a44c37,clh83t34w0000ml08mjc2lnqt,"student study, #e3f2fd",,2023-05-12T11:35:19.514Z,494620,7,lexica-aperture-v3
6,a7fcbcf4-a4ff-4427-a919-360efa393995,1088,896,1088,896,False,https://image.lexica.art/full_jpg/a7fcbcf4-a4ff-4427-a919-360efa393995,clhkxxfum000mmg08qjyk9jft,"Anime style , boy , in darkness",,2023-05-12T19:41:39.586Z,202286,7,lexica-aperture-v3
7,d8eb219c-20a7-4f13-aae1-b37bd6e410c5,768,1152,768,1152,False,https://image.lexica.art/full_jpg/d8eb219c-20a7-4f13-aae1-b37bd6e410c5,clhkzzcch002gl908x3l085vg,"3d render of cartoon cute golden and brown chihuahua , beach background",,2023-05-12T20:43:40.078Z,187763,7,lexica-aperture-v3
8,709160d8-af05-48d1-bf7d-364612b5ebc1,768,1152,768,1152,False,https://image.lexica.art/full_jpg/709160d8-af05-48d1-bf7d-364612b5ebc1,clcxuujat0004jq08jz2gkt15,"background sky with clouds and city, detailing, muted colors, digital art",Text,2023-05-12T18:09:59.146Z,727738,7,lexica-aperture-v3
9,75bab0ac-4f1a-49f2-a771-a9f5885c6133,768,1152,768,1152,False,https://image.lexica.art/full_jpg/75bab0ac-4f1a-49f2-a771-a9f5885c6133,clhl0czy9000wma08xdrp1cvh,"fabulous two-storey house,swimming pool and banana tree in the yard",,2023-05-12T20:44:32.483Z,950868,7,lexica-aperture-v3
10,a79db907-1dd7-4631-a3cb-11b4dd06f549,768,1152,768,1152,False,https://image.lexica.art/full_jpg/a79db907-1dd7-4631-a3cb-11b4dd06f549,clgtp0x3l0004l608olphup2u,"beautiful tribal indian woman, backless, poor, slight smile, eyes closed, white sari, half worn, torn clothes, tattered, dirty linen, beautiful, body tattoos, scantly clad, dark skin, long black hair, realistic skin, skin detail, directional lighting, indoors, very darkroom, intricate details, 8k post production, high resolution, hyperdetailed, sharp focus, intricate details, highly detailed, cinematic, approaching perfection, pure form, golden ratio, minimalistic, intricate details, 8k post production, high resolution, hyperdetailed, sharp focus, intricate details, highly detailed,",,2023-05-12T07:44:54.823Z,726726,7,lexica-aperture-v3
11,af372791-cdde-4b23-920b-ad560230c5e2,768,1152,768,1152,False,https://image.lexica.art/full_jpg/af372791-cdde-4b23-920b-ad560230c5e2,clhjma7ho000gjr0998k4uejl,"isometric room black bed highly detailed ,stylized, smooth, minimal, curves, black and white, dark background",,2023-05-12T21:14:04.019Z,394785,7,lexica-aperture-v3
12,a78aa305-684d-43ea-8d28-84e7276bea9c,768,1152,768,1152,False,https://image.lexica.art/full_jpg/a78aa305-684d-43ea-8d28-84e7276bea9c,clhjoyxv60000jr08z2m26tmn,"obi wan kenobi, ewan mcgregor, young, paladin, knight, dark brown hair, gray eyes, bristle, green armour, gray eyes, serious face, medieval, fantasy, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration,",,2023-05-11T22:39:50.308Z,817753,7,lexica-aperture-v3
13,a784bedd-8192-48ba-857e-8505ff06ed93,768,1152,768,1152,False,https://image.lexica.art/full_jpg/a784bedd-8192-48ba-857e-8505ff06ed93,clhl2hzap0000l2083uxtonnj,"a brown fluffy dog with black ears using  bow tie, working like a radio boradcaster, using headphones and a microphone, the background is a colorfull radio studio with a On Air led letter with tables a window, audio console, 3d render, high detailed, studio ghibli,",,2023-05-12T21:40:03.261Z,649967,7,lexica-aperture-v3
14,29eb65cb-b5ba-4ae5-9e67-523496a71267,768,1152,768,1152,False,https://image.lexica.art/full_jpg/29eb65cb-b5ba-4ae5-9e67-523496a71267,clhjvjlet000wl207ukmip5r0,"The image shows a person wearing personal protective equipment (PPE) to prevent exposure to biohazards. The person is wearing a gown, gloves, and a face mask, and is holding a bottle of hand sanitizer. The image conveys the importance of biosecurity in situations where there is a risk of exposure to biological agents, and the need to protect oneself adequately to minimize the risk",,2023-05-12T01:28:32.573Z,579172,7,lexica-aperture-v3
15,a766cd00-1a8d-4d19-99ef-d133a2dffec3,768,1152,768,1152,False,https://image.lexica.art/full_jpg/a766cd00-1a8d-4d19-99ef-d133a2dffec3,clh14zwjh0000k308k6xo4osx,"hummingbirds, watercolor",text,2023-05-12T19:19:11.120Z,147351,7,lexica-aperture-v3
16,a75fd163-3b5f-488c-9df5-21b131daf783,768,1152,768,1152,False,https://image.lexica.art/full_jpg/a75fd163-3b5f-488c-9df5-21b131daf783,clfjwa6hw000gl108xu8qiemc,"hyper-realistic robot working as a first responder, conducting a patient on the table to an ambulance",,2023-05-12T13:59:46.240Z,970527,7,lexica-aperture-v3
